date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:10:46	284/284	---M--	200	added ('OK')	text/plain	etag:%22355cf44dcd50a0acc37812cbb8a418ab%22	http://site256076-4685-5627.strikingly.com/robots.txt		(from )
00:10:47	62843/62843	---M-Z	200	added ('OK')	text/html	etag:W/%22954da02d6134fb98efda1a539c5c070f%22	http://site256076-4685-5627.strikingly.com/	C:/My%20Web%20Sites/final1/site256076-4685-5627.strikingly.com/index.html	(from )
00:10:49	250263/250263	---M-Z	200	added ('OK')	text/css	etag:%22d82bb4235a979945f4ad4fbb29c1a170%22	http://assets.strikingly.com/assets/themes/perspective/main_show-98895c243b781e0d19cfc5e6dac1f72f.css	C:/My%20Web%20Sites/final1/assets.strikingly.com/assets/themes/perspective/main_show-98895c243b781e0d19cfc5e6dac1f72f.css	(from http://site256076-4685-5627.strikingly.com/)
00:10:49	2464/2464	---M-Z	200	added ('OK')	application/x-javascript	etag:%228cfcb76fb019ffc6f5de227f9dda6341%22	http://d15qhc0lu1ghnk.cloudfront.net/beacon.js	C:/My%20Web%20Sites/final1/d15qhc0lu1ghnk.cloudfront.net/beacon.js	(from http://site256076-4685-5627.strikingly.com/)
00:10:49	2921/2921	---M--	200	added ('OK')	image/png	etag:%227f9d26bc4128716d7bc180a8cfaabc28%22	http://assets.strikingly.com/assets/fb_images/default-17514e7595d53fa05c93930c6bbd0e2d.png	C:/My%20Web%20Sites/final1/assets.strikingly.com/assets/fb_images/default-17514e7595d53fa05c93930c6bbd0e2d.png	(from http://site256076-4685-5627.strikingly.com/)
00:10:50	2588/2588	---M--	200	added ('OK')	image/png	etag:%22f2c03a97362c3fabd3f55e65f5956051%22	http://assets.strikingly.com/assets/icons/facebook-2f8d75b29dc836b3f928c8265fec909d.png	C:/My%20Web%20Sites/final1/assets.strikingly.com/assets/icons/facebook-2f8d75b29dc836b3f928c8265fec909d.png	(from http://site256076-4685-5627.strikingly.com/)
00:10:50	6157/6157	---M--	200	added ('OK')	image/png	etag:%22f71cc3febfb683fa0ae811ee48e453da%22	http://assets.strikingly.com/assets/logo-small-2-9a1446099d9e66ac7f6fd9c5a13ee293.png	C:/My%20Web%20Sites/final1/assets.strikingly.com/assets/logo-small-2-9a1446099d9e66ac7f6fd9c5a13ee293.png	(from http://site256076-4685-5627.strikingly.com/)
00:10:50	14578/14578	---M--	200	added ('OK')	image/png	etag:%22e0783a8a5f5a0ef67a77044206033c2d%22	http://assets.strikingly.com/assets/icons/contact-form-brand-a131063e99376a1ae2925ea4a9a09f97.png	C:/My%20Web%20Sites/final1/assets.strikingly.com/assets/icons/contact-form-brand-a131063e99376a1ae2925ea4a9a09f97.png	(from http://site256076-4685-5627.strikingly.com/)
00:10:50	2203/2203	---M--	200	added ('OK')	image/png	etag:%2211e2ecf5116c59dd46b49e6f55da8ff1%22	http://assets.strikingly.com/assets/icons/renren-322fc007c7248bbd59db49b1273cbeb2.png	C:/My%20Web%20Sites/final1/assets.strikingly.com/assets/icons/renren-322fc007c7248bbd59db49b1273cbeb2.png	(from http://site256076-4685-5627.strikingly.com/)
00:10:50	4628/4628	---M--	200	added ('OK')	image/png	etag:%221f83457af7df2b965436a257125d4823%22	http://assets.strikingly.com/assets/icons/weibo-8aaddee6c261ee8fb55c1c3cadee100f.png	C:/My%20Web%20Sites/final1/assets.strikingly.com/assets/icons/weibo-8aaddee6c261ee8fb55c1c3cadee100f.png	(from http://site256076-4685-5627.strikingly.com/)
